,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed
0,atuona,-9.8,-139.03,78.88,100.0,8.0,12.77
1,balasheyka,53.28,48.09,44.14,89.0,64.0,15.23
2,lebu,8.96,38.73,51.43,69.0,12.0,6.62
4,cape town,-33.93,18.42,57.2,93.0,90.0,18.34
5,longyearbyen,78.22,15.63,24.8,79.0,40.0,17.22
6,xuddur,4.12,43.89,77.71,68.0,76.0,12.77
8,butaritari,3.07,172.79,84.1,100.0,8.0,8.63
10,carnarvon,-30.97,22.13,45.58,35.0,0.0,4.61
11,xuanhua,40.61,115.04,35.68,81.0,0.0,3.6
12,ilulissat,69.22,-51.1,33.8,64.0,75.0,26.4
14,mataura,-46.19,168.86,44.14,100.0,0.0,4.5
15,luderitz,-26.65,15.16,55.48,84.0,8.0,17.81
16,inhambane,-23.87,35.38,74.74,99.0,0.0,11.54
17,kapaa,22.08,-159.32,84.24,81.0,40.0,16.11
18,vaini,15.34,74.49,70.87,95.0,44.0,2.59
19,saldanha,41.42,-6.55,62.95,89.0,64.0,2.37
20,khatanga,71.98,102.47,44.05,92.0,92.0,15.9
21,namatanai,-3.66,152.44,82.03,100.0,0.0,17.25
22,nanortalik,60.14,-45.24,42.61,89.0,80.0,23.73
23,vallenar,-28.58,-70.76,64.93,65.0,80.0,2.59
24,kuusamo,65.96,29.19,32.0,87.0,0.0,10.29
25,bapatla,15.9,80.47,76.18,93.0,48.0,3.27
26,esperance,10.24,-61.45,78.8,88.0,40.0,3.6
27,tasiilaq,65.61,-37.64,32.0,100.0,92.0,21.92
28,lasa,34.92,32.53,70.99,83.0,20.0,6.93
29,barrow,-38.31,-60.23,53.23,72.0,92.0,11.43
30,chokurdakh,70.62,147.9,36.31,95.0,92.0,13.89
31,kavieng,-2.57,150.8,83.29,100.0,0.0,9.75
32,katsuura,33.93,134.5,57.2,93.0,20.0,9.17
34,punta arenas,-53.16,-70.91,48.2,45.0,0.0,13.87
35,takoradi,4.89,-1.75,76.9,95.0,92.0,7.18
37,hualmay,-11.1,-77.61,70.87,60.0,8.0,5.95
38,leningradskiy,69.38,178.42,41.44,93.0,64.0,14.67
39,puerto ayora,-0.74,-90.35,78.8,65.0,75.0,19.46
41,kitimat,54.02,-128.69,60.8,72.0,75.0,10.29
42,thompson,55.74,-97.86,30.2,92.0,90.0,10.29
43,gorgan,36.84,54.43,69.8,88.0,75.0,0.58
45,bluff,-23.58,149.07,63.31,84.0,0.0,8.97
46,cap malheureux,-19.98,57.61,71.6,73.0,40.0,11.41
47,kampot,10.62,104.18,73.84,98.0,20.0,3.38
48,dingle,11.0,122.67,77.17,89.0,64.0,7.07
50,kaitangata,-46.28,169.85,44.86,91.0,0.0,4.83
52,jamestown,-33.21,138.6,40.18,90.0,24.0,4.38
53,yellowknife,62.45,-114.38,33.8,59.0,90.0,12.75
54,rikitea,-23.12,-134.97,72.31,100.0,24.0,17.02
55,floro,61.6,5.03,42.31,75.0,68.0,10.29
56,kahului,20.89,-156.47,77.23,100.0,75.0,5.82
57,port-gentil,-0.72,8.78,77.0,94.0,75.0,11.41
58,rock sound,24.9,-76.2,83.47,100.0,76.0,18.14
59,zeya,53.74,127.27,37.84,88.0,0.0,1.92
61,roald,62.58,6.12,43.93,75.0,92.0,11.41
62,ostrovnoy,68.05,39.51,40.18,99.0,88.0,10.2
63,camacha,33.08,-16.33,72.63,78.0,75.0,17.22
64,sorland,67.67,12.69,44.41,100.0,0.0,7.18
65,conceicao da barra,-18.59,-39.73,77.26,86.0,8.0,16.24
66,victoria,5.28,115.24,77.92,94.0,75.0,1.12
67,ketchikan,55.34,-131.65,60.75,86.0,40.0,14.99
68,lobito,-12.35,13.55,65.74,91.0,20.0,0.13
69,saint-joseph,43.56,6.97,60.13,72.0,0.0,3.36
70,bredasdorp,-34.53,20.04,55.4,82.0,0.0,4.7
71,sao joao da barra,-21.64,-41.05,77.0,78.0,0.0,11.41
72,new norfolk,-42.78,147.06,51.8,53.0,75.0,12.75
73,ushuaia,-54.81,-68.31,48.2,34.0,0.0,13.87
74,isangel,-19.55,169.27,70.06,100.0,100.0,23.4
75,hermanus,-34.42,19.24,59.53,80.0,56.0,9.86
76,nelson bay,-32.72,152.14,55.4,87.0,0.0,11.41
77,bronnoysund,65.46,12.2,40.78,93.0,75.0,2.24
78,mar del plata,-46.43,-67.52,49.81,67.0,64.0,13.78
79,anadyr,64.73,177.51,48.2,81.0,75.0,17.9
80,sungaipenuh,-2.08,101.38,64.66,95.0,64.0,0.81
81,hvide sande,56.01,8.13,51.8,87.0,20.0,12.75
82,saskylakh,71.97,114.09,30.01,89.0,92.0,16.02
83,marsaxlokk,35.84,14.54,68.0,45.0,20.0,21.92
84,okhotsk,59.36,143.24,41.26,100.0,8.0,4.61
85,la trinite,48.25,-4.26,55.4,82.0,0.0,3.36
86,port elizabeth,39.31,-74.98,68.61,67.0,90.0,9.17
87,faya,18.39,42.45,68.94,42.0,0.0,6.93
88,maple creek,49.91,-109.46,42.43,88.0,80.0,10.98
89,big spring,32.25,-101.48,75.6,57.0,1.0,4.7
91,mahebourg,-20.41,57.7,71.6,73.0,40.0,11.41
92,bonthe,7.53,-12.5,75.37,100.0,92.0,6.73
93,padang,-0.92,100.36,77.35,100.0,48.0,3.94
94,dikson,73.51,80.55,40.27,92.0,88.0,18.48
95,abu dhabi,24.47,54.37,89.6,79.0,0.0,10.29
96,san pedro,-33.68,-59.66,68.53,67.0,76.0,14.34
97,beringovskiy,63.05,179.32,45.85,94.0,92.0,18.48
98,georgetown,6.8,-58.16,86.0,74.0,20.0,11.41
99,nara,34.68,135.8,63.79,77.0,20.0,4.7
100,igrim,63.19,64.42,50.71,62.0,88.0,6.73
101,shimoda,34.7,138.93,68.08,100.0,0.0,5.95
102,isabela,10.2,122.99,75.01,97.0,76.0,3.6
103,hithadhoo,-0.6,73.08,79.87,100.0,76.0,23.96
104,chuhar kana,31.75,73.8,77.0,88.0,76.0,8.3
105,bystrzyca klodzka,50.3,16.64,45.49,84.0,0.0,4.38
106,tremedal,-14.98,-41.41,78.8,44.0,0.0,11.41
107,comodoro rivadavia,-45.87,-67.48,51.8,66.0,40.0,12.75
108,avarua,-21.21,-159.78,77.0,88.0,75.0,9.17
109,sadasivpet,17.62,77.95,73.4,94.0,75.0,4.7
111,sitka,37.17,-99.65,77.71,43.0,0.0,11.99
112,san carlos,9.66,-68.59,89.5,58.0,44.0,4.5
113,pitsunda,43.16,40.34,62.6,77.0,75.0,6.71
115,albury,-36.08,146.92,43.5,87.0,8.0,4.72
117,namasigue,13.21,-87.14,89.6,66.0,40.0,4.7
118,castro,-42.48,-73.76,49.63,98.0,92.0,10.54
119,port hardy,50.7,-127.42,64.4,68.0,20.0,14.99
120,salalah,17.01,54.1,77.0,78.0,20.0,5.82
122,san vicente de canete,-13.08,-76.38,68.08,66.0,0.0,4.61
123,hilo,19.71,-155.08,79.63,65.0,20.0,9.17
124,qaanaaq,77.48,-69.36,17.5,100.0,12.0,5.39
126,ulladulla,-35.36,150.48,51.8,87.0,0.0,11.21
128,lorengau,-2.02,147.27,82.84,100.0,32.0,8.63
129,airai,-8.93,125.41,61.87,87.0,0.0,2.15
130,zabaykalsk,49.64,117.33,46.48,99.0,92.0,4.61
131,kruisfontein,-34.0,24.73,58.81,91.0,0.0,2.37
132,aklavik,68.22,-135.01,33.8,69.0,40.0,2.24
133,arlit,18.74,7.39,84.37,20.0,64.0,2.93
134,grand baie,-20.02,57.58,71.6,73.0,40.0,11.41
135,enshi,30.29,109.48,55.93,96.0,92.0,2.71
136,caluquembe,-13.78,14.68,68.08,49.0,76.0,1.25
137,busselton,-33.64,115.35,50.89,100.0,0.0,20.6
138,emerald,-23.53,148.16,64.48,67.0,0.0,11.21
139,mahibadhoo,3.78,72.97,81.58,100.0,64.0,23.73
141,albany,42.65,-73.75,64.13,60.0,90.0,4.7
142,isla mujeres,21.23,-86.73,86.0,70.0,75.0,8.05
143,oksovskiy,62.61,39.91,41.44,96.0,88.0,5.73
144,jadu,31.95,12.03,59.89,87.0,92.0,8.52
145,arkhangelsk,64.54,40.54,42.8,100.0,90.0,2.24
146,sao filipe,14.9,-24.5,79.51,97.0,0.0,12.44
147,grand gaube,-20.01,57.66,71.6,73.0,40.0,11.41
148,yerbogachen,61.28,108.01,42.16,96.0,44.0,3.71
149,ponta do sol,-20.63,-46.0,80.95,51.0,76.0,1.36
150,ciudad guayana,8.32,-62.69,81.13,90.0,24.0,3.15
151,guarapari,-20.67,-40.5,78.8,74.0,0.0,18.34
